token_text,count,pct_of_onsets,benchmarks,labels,mean_p,mean_q,mean_p_over_q,mean_u,mean_target_rank,mean_target_top1_prob,mean_target_top1_margin,mean_target_entropy,mean_draft_entropy,mean_kl_target_draft,mean_kl_draft_target,mean_tv_distance,mean_consecutive_accepted_length,share_strict_would_accept,share_lossy_would_accept,share_actually_accepted,share_lossy_only_accepted
 They,1,0.30120481927710846,aime24,unproductive_repetition,1.81e-06,9.672e-05,0.018718,0.74709618,342.0,0.706856,0.706855,1.39613,3.76249,1.39964,2.58431,0.70668,1.0,0.0,0.0,0.0,0.0
 Thus,1,0.30120481927710846,aime24,unproductive_repetition,0.00183998,0.00731395,0.251572,0.2130871,20.0,0.450229,0.448389,1.79863,1.18957,1.40325,0.79257,0.57477,6.0,1.0,1.0,1.0,0.0
 Wait,1,0.30120481927710846,aime24,unproductive_repetition,0.45967948,0.1552497,2.960904,0.36592159,0.0,0.459679,0.0,1.86076,2.25468,0.33152,0.33752,0.33944,1.0,1.0,1.0,1.0,0.0
 With,1,0.30120481927710846,aime24,unproductive_repetition,0.06342419,0.50289083,0.126119,0.78733975,4.0,0.322095,0.25867,2.34504,2.18738,1.12381,1.12972,0.58113,5.0,0.0,0.0,0.0,0.0
 actual,1,0.30120481927710846,aime24,unproductive_repetition,0.00093932,0.00062857,1.494372,0.11563483,53.0,0.215919,0.21498,3.00363,3.99981,1.08526,1.12042,0.55498,3.0,1.0,1.0,1.0,0.0
 algebra,1,0.30120481927710846,aime24,unproductive_repetition,0.08043415,0.16254912,0.49483,0.51521951,1.0,0.673467,0.593033,1.52203,2.96225,0.49086,0.99672,0.4261,2.0,0.0,1.0,1.0,1.0
 and,1,0.30120481927710846,livecodebench,unproductive_repetition,0.0216413,0.9793011,0.022099,0.22172771,3.0,0.812084,0.790442,0.83729,0.15925,6.27372,3.75811,0.96944,5.0,0.0,0.0,0.0,0.0
 angle,1,0.30120481927710846,aime24,unproductive_repetition,0.95893574,0.99027187,0.968356,0.18753767,0.0,0.958936,0.0,0.20571,0.07624,0.04868,0.02995,0.03457,1.0,1.0,1.0,1.0,0.0
 any,1,0.30120481927710846,aime24,unproductive_repetition,0.05780141,0.04236099,1.364496,0.20285109,3.0,0.427098,0.369296,2.0841,3.12732,0.85791,1.08947,0.47795,3.0,1.0,1.0,1.0,0.0
 b,1,0.30120481927710846,aime24,unproductive_repetition,0.18660204,0.20049863,0.93069,0.33880848,0.0,0.186602,0.0,3.12864,3.37912,1.41916,1.63303,0.53491,2.0,1.0,1.0,1.0,0.0
 blue,1,0.30120481927710846,aime24,unproductive_repetition,,,,,,,,,,,,,6.0,,,,
 but,1,0.30120481927710846,aime24,unproductive_repetition,0.85388809,0.67682791,1.261603,0.65522325,0.0,0.853888,0.0,0.90872,1.82402,0.19672,0.38421,0.21671,4.0,1.0,1.0,1.0,0.0
 can,1,0.30120481927710846,aime24,unproductive_repetition,0.82370752,0.51580334,1.596941,0.21726885,0.0,0.823708,0.0,0.84934,1.97635,0.31985,0.58455,0.32182,6.0,1.0,1.0,1.0,0.0
 column,1,0.30120481927710846,aime24,unproductive_repetition,0.0110594,0.67475194,0.01639,0.55754083,2.0,0.878557,0.867497,0.44579,1.65413,1.83735,3.45279,0.83398,2.0,0.0,0.0,0.0,0.0
 each,1,0.30120481927710846,aime24,unproductive_repetition,0.05307913,0.39958903,0.132834,0.60191303,4.0,0.346119,0.29304,2.43324,2.19296,3.05609,1.44075,0.66261,2.0,0.0,1.0,1.0,1.0
 extra,1,0.30120481927710846,aime24,unproductive_repetition,0.02918596,0.08872177,0.328961,0.30381656,5.0,0.550699,0.521513,2.07488,4.08305,2.18671,2.24065,0.71073,6.0,1.0,1.0,1.0,0.0
 has,1,0.30120481927710846,aime24,unproductive_repetition,0.33539099,0.58523005,0.573093,0.97467339,1.0,0.487991,0.1526,1.42934,1.53095,0.31265,0.31927,0.33874,5.0,0.0,1.0,1.0,1.0
